Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,C9,E12,E12,E12,D14,E12,D13,G9,D9,F12,C9,E15,E12,E12,F12,F11,G6,E13,C16,F11,E12,D10,D11,F9,C15,E13,F17,E15,E8,D10,D8,D13,E12,G8,D22,E11,F9,E9,F12,E11,G12,D9,D16,E12,D14,E14,E12,G8,G10,D20,G12,D12,E12,D12,E12,E15,D11,D6,G10,E13,F11,D14,D16,E12,E19,D13,G10,E17,E13,D12,E12,D17,E12,D11,F12,E12,E12,F16,D12,G14,C9,F12,E16,F10,G11,E15,E12,C8,E15,D16,G10,D9,D14,G12,E11,F9,E13,D15,D6,C8
WHALE,E12,K20,E12,G10,F15,F13,E12,G12,E12,D15,E16,B20,I17,L16,K6,F14,F12,L16,G12,G10,F22,E12,I10,E18,E12,F12,H23,E12,K10,D14,F16,F15,C12,G20,J15,H19,L16,F17,O15,E12,I13,E12,H13,G16,E16,G17,F15,K12,K7,K12,E15,I18,G16,K11,E12,G6,G18,K18,J12,B18,E12,K15,J9,E12,K17,K11,I15,J15,E12,J15,H18,E12,I8,I14,F14,E12,I16,H10,M14,E12,D18,E12,K15,F23,K15,G14,C8,G15,H8,H15,L17,P18,C12,F22,H18,E12,F15,L15,D14,I8
GRIZZLY,K15,G18,B14,K18,H15,G10,G17,G4,I13,C10,D18,I15,F19,K13,L14,H13,G21,D10,K13,K14,G17,J11,F18,G18,F16,G10,F12,G9,G12,E12,G18,H6,E12,H15,D13,E12,K9,G22,I18,M13,B30,K4,J17,K25,C15,E12,E12,K25,E12,M16,I15,G1,F6,F19,E12,G23,I18,K10,H12,G22,F18,K16,K17,G7,D16,C8,I17,E12,B14,F12,I15,M15,H9,H10,L16,D18,F16,F13,E12,K13,G13,H11,J13,B7,J11,C15,E12,H14,B14,G4,I18,F15,E12,F11,E12,L10,K14,K15,H6,G8
FLAMINGO,H10,C12,E12,D6,E12,G19,K15,G20,E12,F12,H16,C8,D18,D7,H25,C14,K17,E12,F15,F4,F10,B9,D16,E8,G17,E12,D20,G18,G12,F12,F12,D14,F19,L16,H7,E12,C8,G8,E6,E14,F11,G4,F11,H5,H10,F11,G8,E8,K13,C10,B12,E12,C9,H9,G7,G14,C8,G11,E12,C15,F12,G16,F6,F12,F11,E12,G15,D10,C16,F16,E12,F6,G12,C7,A20,K11,D16,K16,D8,A12,E12,D18,D17,C11,E12,E12,G12,F8,F16,G15,G10,B18,C8,D8,G16,D16,H16,E12,F6,F15
FOX,G12,E12,G12,E12,L4,H15,M19,D19,E12,E12,E12,E12,E12,E12,B24,F18,F12,K15,E12,K12,L8,K10,G15,H13,H15,G12,E12,K20,K15,E12,C15,G19,E12,F15,K8,E12,J12,J6,H14,E12,I9,G17,B15,K15,K15,J16,E12,H18,E12,G14,F10,H13,F12,H15,J14,H12,N14,E12,E12,K18,I18,K12,C12,E12,B20,L23,F10,H15,K18,G15,J8,I15,H25,E12,K12,E9,J12,F8,K14,H4,E12,E12,K13,G16,F12,I13,L15,I13,E17,E12,G18,E12,F16,E15,E13,C10,D18,D8,E12,J18
CRICKET,E12,K15,E12,M15,I23,G4,L8,E12,D9,C9,D16,K15,D11,J15,E12,H8,E12,B26,G20,G10,G18,K7,I15,A12,F15,D16,B17,H8,H15,F12,E12,L16,H13,E12,G12,K14,F24,I10,H3,K17,D12,E12,E17,D8,N11,I25,A10,K14,E12,K11,A15,G9,L17,M22,A13,I13,E12,H12,K15,I10,F11,M17,H6,K18,K12,I18,E12,G9,J15,A30,E12,F6,H7,B14,F15,F9,K8,K15,J19,I6,H15,F4,E12,G18,K9,N12,G16,P19,G17,H12,K12,D28,D15,F9,I19,H12,K18,E12,O15,E12
CANARY,C12,F9,F6,D19,G8,F6,K15,F7,F18,J21,K2,F11,K8,G3,F13,F8,J12,J12,G8,F10,G12,F17,F12,G11,J8,G8,H25,A10,G11,K20,G17,H7,K11,F12,G12,C16,F9,E12,E12,J12,E12,G14,J12,D15,K19,H9,H11,F8,H14,E6,E12,J12,E8,F19,F12,H13,D8,F8,F24,J11,B12,H15,E12,G12,H12,D8,G10,F8,H6,F10,E12,G11,F11,J20,F5,F7,F18,G11,K18,E12,J12,E12,E12,J12,F14,J8,J9,F10,H12,L3,J14,F17,E12,J15,F13,E10,F16,F8,J10,E12
PIG,N12,E12,G11,I17,H7,E12,H9,C14,G10,E12,J21,G7,H24,E12,M12,M20,E10,G14,E12,E12,E12,E12,F16,F18,E12,K15,I18,E12,G14,G14,P20,E10,F14,F19,E12,F15,E12,F18,G18,H11,G21,E12,H7,E12,G21,E12,E12,H10,D23,G12,E12,E12,H6,E12,E12,E12,G12,E12,L17,E12,E12,G15,E12,E12,F9,G16,E12,H18,H20,E12,E23,E12,E19,O15,E12,K19,E15,K21,H13,E12,F14,I10,E12,J16,E12,K20,N17,E12,F11,E12,L18,K18,G12,H14,F7,E12,G12,H5,E12,M12
TIGER,A15,G19,L18,G29,G20,H17,L24,K13,G12,K14,K14,K15,I10,J8,G15,K18,E12,E12,G9,H8,I11,E12,D9,F10,B14,K20,J8,H18,F15,G7,I14,G10,E12,F13,H26,I18,E12,E12,D13,I17,E12,B8,D14,P15,J18,G10,H15,D18,G18,L25,F12,E12,I12,G12,E12,E12,F8,E12,F6,K12,K8,J15,J20,F12,E12,G18,G7,K10,G16,O8,F8,J18,H10,J18,I12,E12,G13,F8,G10,D21,F7,F15,G11,F8,H8,F12,E12,K12,G20,L18,K14,H25,K10,P1,G8,E12,K12,E12,O13,K13
LADYBUG,J21,F14,F5,K2,D14,I10,K12,G8,K25,O14,E12,C12,C18,G3,L10,H17,I15,G23,H18,A25,K15,G19,D30,D25,F7,E10,P12,K17,E12,E12,D27,D20,G17,K12,E19,L18,K18,J12,I14,L10,J19,H16,K8,I14,E17,F22,K13,L24,K12,L26,O17,D16,G18,E12,C12,G8,H4,G28,I9,O12,G18,N13,H13,F25,K10,G12,J14,A6,C4,L12,J15,K12,O14,H22,I16,L18,E12,L15,L15,O18,K15,J17,J22,D15,G30,H15,H12,G14,G5,G22,N12,F18,H22,H23,P18,N16,K19,K22,L17,G10
