Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,E11,G5,J10,E6,G12,O16,G11,D18,E11,H25,G13,K17,G14,F10,B15,G10,E14,F12,A8,D6,A12,F7,B24,E9,F10,G11,E9,E10,G13,E13,C20,E8,F17,F15,F12,C11,E11,F8,E8,H18,B11,G8,G17,B11,G8,C11,C12,D5,G13,E10,B30,G14,F15,G19,D14,D9,E12,C14,D13,F8,E15,G13,D9,G19,A10,D10,E13,B9,F12,G7,E9,B15,D13,J13,G19,E13,J15,D10,D13,D8,F25,D22,E20,B18,E8,G14,D7,G12,G14,E11,H10,C14,G14,D7,F11,E5,E11,E13,F8,E11
WHALE,O14,B20,O14,C18,A25,F20,B24,C7,H23,C28,H25,A3,H10,P7,P30,P24,B7,A18,P22,E10,P30,O13,E11,P29,P24,P2,G25,E8,P30,G17,P27,J16,K22,D14,B15,G20,E30,N19,F18,C21,P30,P17,H19,G27,E29,J25,M4,K5,C19,M23,O13,G10,N27,E8,M27,H19,O13,P30,E13,P17,D15,E13,B20,M28,M19,G17,F19,P27,O14,P26,B14,I12,P12,P30,D17,C21,F14,A1,G25,O17,O18,M16,A21,D19,O19,E19,D9,P30,D14,N20,E14,D2,M24,D20,E19,P11,P28,A7,P9,O20
GRIZZLY,G22,H12,G9,E18,D19,K24,C3,P20,G17,E18,P30,H29,E27,E18,L16,E13,C27,H17,E13,G19,E20,D15,A8,J3,C25,F30,G10,A19,E20,B15,C22,G19,G18,A24,O27,G18,A30,E14,F24,G30,G20,C18,P17,D16,A21,F22,C16,D10,D14,D13,F30,B11,H20,E17,G18,J29,E16,G25,P28,G15,E12,E17,E20,G26,E26,G15,G20,G18,A22,D28,D12,G20,D27,E18,D14,G20,G17,G19,E17,E13,P30,P30,D19,P17,O29,E17,P28,B27,G22,F19,G13,G15,D22,I18,I3,E19,E18,D22,G26,E18
FLAMINGO,H10,H11,M13,M14,M30,N28,G10,P15,I12,H13,E12,I17,F19,G4,M20,I12,G8,E12,G10,M4,K18,E10,G8,F16,G4,N16,H16,I22,M10,H5,O21,H16,N9,H15,E10,K14,D9,F8,G10,G10,I17,N25,H8,E16,K29,N21,G22,H28,G9,G6,E4,F18,I7,J11,N26,O5,M17,G19,G1,G10,G7,K23,I13,F9,D10,I8,P19,P25,P17,G10,O20,F14,I9,H22,H17,G21,P30,E11,N7,G15,G7,F8,G10,N30,O1,G14,O17,G18,J28,H14,G15,P16,F9,G3,M14,G12,E9,H17,I9,G7
FOX,G10,G11,O22,G26,E4,F13,G12,G12,E13,G20,M17,O28,A28,F10,A10,E10,E15,F10,G19,G21,F10,E13,F12,G21,G20,D7,C23,E14,G13,E7,G7,A30,F7,G17,G8,O29,P29,F12,G12,C17,E10,G19,E12,B22,F7,G25,G7,E12,M15,G12,F14,P14,G12,G16,E14,E15,E16,E9,F7,G5,F9,G6,G16,E17,J18,F9,F12,B16,M18,F8,G19,G11,F9,G11,G16,E26,G9,E12,H10,G20,G14,E16,F14,A30,B12,F16,G14,H19,G8,G22,F10,F11,G15,C23,G3,F18,E12,G15,E11,G21
CRICKET,E13,D19,G18,P30,G21,E13,O27,D21,H12,E17,F19,D19,F20,H24,K26,E18,G17,D17,D7,F9,G18,G18,A24,A15,C21,E18,E16,P28,E14,P27,C21,G13,A8,E17,F25,G15,C27,F22,E18,I11,A29,G10,G20,G14,C17,P16,P30,G7,O22,F16,C22,E11,H18,E15,E18,G14,F16,P19,A1,C16,G19,F3,B7,E15,G14,B23,F16,P11,C19,P20,G12,G23,D24,C22,F8,D20,H19,O27,G22,D20,D14,D10,G7,P16,E13,E16,D17,E12,F17,B19,G21,D11,E18,E15,G13,E17,P30,B26,E18,G18
CANARY,E6,I20,A17,B22,A26,D11,E12,K21,A1,E9,E12,F19,B6,G18,A7,K16,O27,P25,D7,G19,A11,G13,C19,E12,P19,E9,E10,C20,D8,E10,F21,A16,D10,E8,E9,C15,B14,G16,E13,P9,G20,F5,E16,G15,E19,F13,D17,E12,G8,A16,G19,N3,E11,B16,A23,E16,B24,E14,D9,E13,I12,K12,E13,B15,A19,D12,E9,B22,G9,A26,B3,A2,C12,D15,G11,E11,B24,C13,B8,E14,A3,C19,B17,C9,H9,B6,P16,O18,G20,K20,F9,E11,E12,A4,E15,E13,D9,B14,B20,B22
PIG,E18,E14,C25,P12,A12,N19,J19,C28,F9,O24,O11,D18,G8,F11,D17,N25,B19,P25,D18,E14,B18,G8,P16,M17,E15,F18,A15,E17,P27,F13,E17,G12,I27,P25,G27,G13,O21,D15,O25,P18,P2,E15,E17,D26,E12,G18,F29,B17,E12,O27,E16,P9,C18,F22,K5,D9,E10,I10,B19,C17,P12,P25,C23,D12,P19,P12,K12,F10,G28,K30,P28,E17,K27,E20,O18,G28,D14,P14,M10,O27,M14,P12,G1,F13,K9,P24,D14,F19,C20,G17,C19,G18,E12,F2,O17,D18,P8,E13,G25,N9
TIGER,A24,E16,D17,B26,K20,G3,K13,F14,I15,G20,G20,K7,F10,C17,K5,E10,P17,B19,E14,G14,F23,N26,A11,K3,G10,N18,E20,O27,K10,O11,D18,F2,P14,D12,E12,F23,M17,H12,F25,F9,D30,F13,O23,O2,G18,D27,I8,A7,E8,G14,G14,G17,G14,G10,I12,G16,F16,K11,G23,G10,D14,P18,P18,K12,E12,G15,K19,P30,E10,P7,F10,G15,I15,G19,G19,K21,I12,F20,P19,P30,I19,G18,P2,G22,D18,H16,P30,G20,I18,E10,E13,P11,D24,A30,P30,G8,H12,K15,G11,G22
LADYBUG,O10,D12,M10,G11,L9,L12,K14,K17,G17,L12,K23,L10,K11,L14,L11,G22,L4,M10,L16,I18,K13,F12,A13,E7,K24,L10,K14,J17,H14,K16,K26,L19,E9,J13,K10,K18,J9,K6,L15,L12,I11,K13,E8,H21,L14,G10,J26,L15,L15,J8,G13,L12,K9,E11,K18,L14,M18,K14,N14,G13,L9,J22,M10,K18,H14,K7,I18,L14,D14,L6,L15,H16,K7,K7,K11,G10,O9,L14,K13,E7,M10,J12,E11,L13,K14,K25,K10,K12,L9,F7,B8,K17,O15,P14,L18,K18,K18,G16,M15,N14
FROG,F15,F15,H11,G10,F11,G15,C8,F17,H14,K17,G25,J10,M15,F11,E9,B13,E1,I10,O8,E6,E9,C23,F11,H10,F9,G14,G13,G14,F18,H6,G8,D11,G10,F14,A20,E10,C17,H10,F9,E7,F15,E10,E18,C7,G20,E7,E14,G18,F12,B17,I15,F15,F17,F13,G20,G12,F15,F12,M15,G10,F11,G14,H10,E10,G13,F17,F13,C15,F16,F15,E12,G21,F19,F12,A11,F11,E12,F14,G12,E10,E10,G10,E10,M15,G18,G12,G12,J16,O22,G19,O12,E15,F17,G15,F12,G10,F11,C9,G11,F16
