Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,C8,C12,D8,D7,C10,D6,D6,C12,D7,D8,C11,F6,D10,D7,D7,D5,D7,C12,C7,B10,C12,D6,C8,D6,C12,D7,C10,C15,C12,D6,E10,C7,D10,D10,D8,D8,C10,B8,C8,B8,D15,D8,C8,C10,E9,C7,D10,C8,C14,C7,E7,D11,C10,D7,D7,D8,D8,H10,D9,D8,D12,D8,C14,D10,C12,D8,D6,D7,D6,C7,D7,D9,D7,D6,C11,C8,C10,D6,C12,C11,D8,D11,C8,D9,B11,D8,D6,C12,F6,C10,D7,E7,C12,D6,C9,C12,D7,C12,D4,D8
WHALE,O19,G9,H10,N6,H15,E12,A10,A1,G15,A6,G9,A24,N12,K5,N6,B16,B10,L12,G15,A18,D5,B26,G8,B12,A12,H12,F7,D6,D6,D18,A1,L10,A1,A29,A10,D12,D12,F7,K11,O12,J20,B16,A1,A19,A14,N14,A1,A20,A11,A17,A1,A10,G10,F6,A5,A17,A11,B1,B5,A15,G12,B2,D17,L12,F10,I15,B15,B12,G15,O22,E6,F12,G15,A11,D7,G10,B1,H10,A1,B6,A1,A5,E5,G10,A15,A1,B15,C4,A15,K12,G15,H12,N15,A1,L12,F12,B14,B15,C7,H10
GRIZZLY,N12,C12,C14,G10,J12,H9,D15,D9,D8,G10,H14,F12,D8,O18,B10,D6,G15,O15,B12,D14,J15,B2,D12,G12,C8,B6,C4,K7,O12,N12,G12,H9,M12,D15,O18,H5,G12,D11,E10,E13,G12,G15,A10,J12,F12,C1,J11,C7,O12,G12,C10,J13,G12,F14,O12,C15,B14,C6,G15,C7,D12,J14,H12,F10,L12,C15,H11,G15,G15,C10,C12,D12,C7,D8,B12,D7,O12,G8,N18,F15,C10,C6,G15,G15,L10,D8,G15,K4,D6,N12,I5,G14,O5,G15,I10,N14,J12,L10,D6,D12
FLAMINGO,B12,C12,F8,E12,A14,A17,D12,B5,B8,B5,A5,E14,A12,B7,B12,E12,B8,A14,D14,E13,E12,A12,F15,B12,C12,B12,C12,D9,E6,C12,E8,B7,A14,B12,A12,E10,E11,E12,A10,B12,A10,E14,D12,E6,D12,C18,B12,C15,E16,C10,F11,A10,D6,A13,C8,B13,E12,E8,E9,C12,C7,B12,E15,F14,E6,D5,E17,A13,B12,E12,C17,C12,E16,C12,E12,A11,A6,D14,D9,F12,E12,F12,D5,B12,D14,B15,B3,E12,F7,C1,F7,A1,E12,B14,F12,B12,B3,B11,D6,D8
FOX,F13,D16,D7,G18,F10,G12,F12,F10,H7,O10,G12,F12,E7,F14,F12,E5,G12,F12,D9,D8,G12,H12,G12,F9,H15,F12,F12,H14,G12,H15,F8,G12,D7,G13,I5,F12,E12,F12,G15,F9,F12,F12,E7,G12,F12,F12,F12,J12,H11,F12,G10,F15,D6,I12,F12,D18,H8,F12,H6,F12,H12,E7,O5,F12,E7,F9,H10,F10,H14,G12,F12,F12,G21,G11,G12,G14,F12,F12,F10,E5,F12,G12,F12,G15,F12,F12,G12,D7,G12,F12,F12,H12,G12,G16,E9,F10,F12,F12,F8,F9
CRICKET,G6,K12,G10,C12,A1,E14,D3,B7,G10,D6,C6,C6,G8,D15,C11,D12,G9,E5,C12,D6,D17,H14,C15,A1,F14,D7,B4,A1,A1,A14,G12,C10,C1,A1,E7,G12,E10,G10,E12,D7,C12,E6,E6,E12,I12,E12,A12,C10,B6,G12,D7,D9,H7,K10,H12,H14,A10,E7,B7,A12,G15,G10,D6,C12,D12,A2,C15,G10,E7,E6,C15,G15,C9,A8,A1,E9,E7,E8,D17,G14,G10,A1,E12,D8,G12,A1,G10,D6,C4,D8,C12,G10,D7,E6,F11,E3,E12,A12,G10,G12
CANARY,I7,F3,G3,G3,J1,G3,E3,J12,H3,G1,E5,H10,J10,F12,G12,G5,K4,J4,K3,J15,G5,F4,J12,G3,J12,J1,G12,F3,I1,G12,J12,J12,E3,J4,J12,K5,E3,G3,I4,J12,J10,G12,G12,J12,G8,H12,H8,G12,J1,H3,G12,G3,G3,I12,J8,G12,J12,H12,J16,G3,G3,G1,J12,G12,G3,J1,I5,D12,I5,G10,G10,I3,J6,G3,J4,I4,G3,J12,J6,J4,G2,H5,J6,I12,G6,J3,I12,J12,J15,G10,G1,J4,G12,H3,J15,H4,G12,J12,I3,G15
PIG,O12,O18,O5,O15,O15,O7,G16,O9,O19,N13,O1,O12,G12,O18,O12,O12,O5,D14,D1,O18,O5,O6,O17,N12,G12,O11,A15,O7,O15,O1,O6,O12,O14,G12,O15,D7,O12,E12,G10,O3,O11,O15,H15,O6,O12,G12,I12,O10,O15,P9,O5,G12,G15,O14,I15,H12,O15,O15,O12,O6,O5,B4,O12,O9,D5,O6,O15,K8,O12,D7,O18,G15,N12,O4,O10,O6,O12,O10,O9,C3,O12,D1,D18,O8,O9,G10,O5,G14,A10,D20,O12,O15,O1,P1,F12,O15,G15,O12,O3,O12
TIGER,C12,D5,E12,F10,C12,D6,E7,G13,C11,D5,A12,D6,E7,C10,A9,E7,E7,D11,A5,C7,D12,G12,G12,F10,D6,A7,G9,G9,B7,B8,C7,A6,D6,D8,G10,A7,C12,H10,A8,D5,C11,D6,G14,A14,C6,B3,D12,C6,A5,D11,C7,B5,D7,G15,G15,D6,C12,D15,A12,E16,D7,C6,D7,B5,C12,G12,G12,A7,C10,C8,A6,A7,E12,F9,C10,D7,F7,D5,A5,F12,D5,C5,D5,D4,D5,D5,A9,D8,C7,D6,C12,D4,B4,B7,D7,G15,C11,A14,C7,D7
LADYBUG,D9,D6,H15,D5,D7,H12,C5,H15,H12,H11,H17,C7,A5,D5,H15,H12,C12,D12,C6,H12,C8,H12,H12,H15,H12,E6,A9,C16,H12,A15,H12,H12,C5,C6,D12,D12,D12,E12,A12,H12,D3,H12,H12,D5,H9,H12,D14,H12,D8,D9,C7,H15,E15,D7,E15,C7,C12,H10,D12,D20,E8,H12,B6,D6,H12,B6,C7,D6,A12,H12,D6,D5,H8,D6,C7,D5,H12,E5,H10,H15,D12,E12,H12,H14,H12,D12,A12,D10,D4,D16,D5,E12,B6,H12,B12,D6,D7,H8,C7,D5
FROG,O8,G7,G7,G9,G10,G12,G12,G12,D7,G7,G12,G10,G12,G8,G17,G12,G6,G14,G7,G12,D9,O9,G7,G12,G12,G10,G10,G12,G7,G8,G12,G15,G8,G8,G12,G11,G12,G10,G12,G10,G8,G13,G12,G12,E10,G7,G11,G6,G5,G10,G12,E8,G10,G8,J12,E18,G7,F10,G10,G12,G10,G12,G10,G8,E9,G12,G10,G12,G12,G10,O11,G9,G12,G10,G12,G10,F8,G7,E14,G10,G8,G12,G9,G10,G11,E8,G7,G12,O10,G10,F10,G13,O5,G10,G9,G5,E12,G7,G7,G12
AXOLOTL,A1,A1,A1,A15,A10,A13,A1,A1,A12,A12,A1,A12,D10,A1,A1,A10,A1,A1,A10,A10,A11,A1,A10,A12,A12,A12,A10,E15,A1,A15,A1,A10,A14,A10,A1,A7,A14,A8,A1,A14,A1,A19,A1,A14,A14,E12,A12,A1,A15,A10,A1,A15,A15,A10,A15,A1,A1,A1,A12,A10,A15,A14,A12,A1,A1,G9,A1,A12,A8,A10,A15,A11,A1,A9,E12,A1,A16,A1,A1,A1,A15,A1,A13,A1,A7,A1,A10,A12,A10,A1,A12,E15,A14,A15,A14,A1,A14,A12,A1,A9
TOAD,A11,O15,G13,B7,E12,G10,O10,F12,O5,G14,O6,G12,D6,G12,G12,G14,O10,O15,O12,D7,G14,G12,K15,G12,O14,O14,O10,G12,O12,D7,G15,E10,O10,E8,O15,O7,B3,G12,G15,H11,G10,D7,G10,O6,H9,E15,K5,F12,G10,O12,O10,G10,F14,O7,O6,O6,H12,C9,I12,G15,H10,H12,H12,O8,O6,H10,G12,O9,O11,F7,J12,F14,D12,H14,G15,O8,O6,G9,O14,K12,C8,D4,A11,O12,B7,G12,O12,H10,C8,F12,H10,H12,O12,D10,G12,B5,B6,D8,H15,H12
LEMON,L11,L10,L9,K1,J12,K10,I10,L7,M6,L3,L12,G4,K5,G16,L7,G5,L3,L4,L6,L12,L10,I12,I10,L8,H1,K12,L3,I4,H10,K11,L10,L8,I7,H18,G3,L7,G7,J12,L10,I11,I7,J8,J6,H8,L6,L8,E10,L5,I3,L6,L7,K1,L7,H10,L4,L5,J5,K2,L6,G10,I12,J12,I3,L7,L7,L6,H4,K4,L5,I1,L10,L12,G5,L12,L5,I6,L7,I12,L10,I4,K5,K3,L5,L4,H1,L12,I5,L5,H12,H5,I5,L6,L5,L4,L7,L12,K7,L7,L5,L7
LIME,N9,O5,M10,O12,O6,M8,N12,M8,M12,N6,M10,M7,N12,O6,M12,M7,N12,O8,O6,M12,M10,L8,M12,N12,N7,N6,O12,M10,M9,O12,M8,M12,M6,M8,L7,N7,N12,N12,M5,O12,M7,M8,M7,O7,M8,M7,O12,M8,M8,L6,M12,O12,M8,N12,M12,N8,M7,M6,N10,O12,M8,O8,M8,O12,M7,N12,N7,O6,N14,N7,O5,M5,O8,M12,L10,M7,M6,O5,M12,M10,M12,L10,N12,M7,M7,N12,M8,O12,O12,M10,O12,M12,M8,M12,M8,M10,K12,N10,M8,M12
KIWI,O15,G12,O4,N12,N8,O11,O4,O12,O15,O9,O5,N11,O3,O1,O5,O5,N11,O4,O10,O1,O12,O4,K2,O7,O1,O5,O9,O1,O7,N12,O3,O5,O3,M19,O1,O12,O1,N12,O1,O4,O7,O12,O15,O12,O3,O3,O1,O12,O19,P1,N5,O14,O10,N13,N12,P4,N12,O4,O10,O6,N13,O5,O7,P4,N14,O18,O5,O6,N12,O14,O6,O1,O10,O4,O5,N8,O5,N13,O11,O3,L7,O5,O1,O8,N6,L12,O11,O4,N13,L12,O3,O7,G15,O7,O6,O4,N12,K13,P23,O4
PUMPKIN,C12,C9,C8,C8,C8,D8,D8,D10,E12,D5,C7,C10,D7,D12,C7,C8,E10,C10,C10,D9,D9,C8,C8,C10,D8,D6,F10,D11,C10,C9,F10,D6,D8,E12,C9,D10,C5,D10,C8,C10,C8,D7,D8,C5,D6,D9,C12,C12,D9,D6,D7,D7,C8,D6,E10,E12,C7,D9,D9,D9,C12,D7,C12,C10,C8,C8,D9,D7,D5,C12,C10,D8,E7,D7,D10,C12,C7,E8,D7,D8,D8,C12,D6,D8,D15,C12,E7,D10,D11,D5,C5,D8,D8,D12,C12,C8,D8,C10,C10,D8
